Video Name,Date,Time,Total Count,Car Count,Truck Count,Bus Count,Motorcycle Count
lane2.mp4,2025-04-12,11:25:42,18662,16222,1850,590,0
lane1.mp4,2025-04-12,11:25:42,569,565,4,0,0
lane3.mp4,2025-04-12,11:25:52,24829,21935,1154,893,847
lane1.mp4,2025-04-12,11:25:52,754,750,4,0,0
lane2.mp4,2025-04-12,11:25:53,3527,3113,249,165,0
lane2.mp4,2025-04-12,11:25:53,3012,2644,220,148,0
lane2.mp4,2025-04-12,11:26:02,4475,3955,331,189,0
lane2.mp4,2025-04-12,11:26:03,19135,16607,1929,599,0
lane1.mp4,2025-04-12,11:26:03,653,649,4,0,0
lane3.mp4,2025-04-12,11:26:14,25212,22293,1156,909,854
lane2.mp4,2025-04-12,11:26:14,3918,3461,279,178,0
lane1.mp4,2025-04-12,11:26:14,822,818,4,0,0
lane2.mp4,2025-04-12,11:26:15,3344,2945,238,161,0
lane2.mp4,2025-04-12,11:26:23,4670,4131,341,198,0
lane2.mp4,2025-04-12,11:26:26,19315,16736,1961,618,0
lane1.mp4,2025-04-12,11:26:26,687,683,4,0,0
lane1.mp4,2025-04-12,11:26:35,843,839,4,0,0
lane3.mp4,2025-04-12,11:26:36,25337,22403,1158,914,862
lane2.mp4,2025-04-12,11:26:36,4045,3573,291,181,0
lane2.mp4,2025-04-12,11:26:38,3474,3064,246,164,0
lane2.mp4,2025-04-12,11:26:46,4799,4244,350,205,0
lane1.mp4,2025-04-12,11:26:48,704,700,4,0,0
lane2.mp4,2025-04-12,11:26:49,19418,16812,1979,627,0
lane1.mp4,2025-04-12,11:26:56,869,865,4,0,0
lane2.mp4,2025-04-12,11:26:59,4172,3686,304,182,0
lane3.mp4,2025-04-12,11:26:59,25463,22512,1163,919,869
lane2.mp4,2025-04-12,11:27:00,3605,3184,254,167,0
lane2.mp4,2025-04-12,11:27:06,4921,4354,362,205,0
lane1.mp4,2025-04-12,11:27:09,727,723,4,0,0
lane2.mp4,2025-04-12,11:27:12,19529,16902,1999,628,0
lane1.mp4,2025-04-12,11:27:18,890,886,4,0,0
lane3.mp4,2025-04-12,11:27:20,25649,22678,1170,926,875
lane2.mp4,2025-04-12,11:27:20,4348,3843,320,185,0
lane2.mp4,2025-04-12,11:27:21,3788,3346,269,173,0
lane2.mp4,2025-04-12,11:27:27,5234,4638,380,216,0
lane1.mp4,2025-04-12,11:27:30,777,773,4,0,0
lane2.mp4,2025-04-12,11:27:32,19825,17134,2052,639,0
lane1.mp4,2025-04-12,11:27:39,978,974,4,0,0
lane3.mp4,2025-04-12,11:27:41,26072,23050,1195,944,883
lane2.mp4,2025-04-12,11:27:41,4799,4244,350,205,0
lane2.mp4,2025-04-12,11:27:47,4219,3728,308,183,0
lane2.mp4,2025-04-12,11:27:47,5636,4999,411,226,0
lane1.mp4,2025-04-12,11:27:51,865,861,4,0,0
lane2.mp4,2025-04-12,11:27:52,20171,17400,2104,667,0
lane1.mp4,2025-04-12,11:28:02,1105,1076,27,2,0
lane2.mp4,2025-04-12,11:28:04,5180,4588,378,214,0
lane3.mp4,2025-04-12,11:28:05,26407,23355,1208,961,883
lane2.mp4,2025-04-12,11:28:09,4501,3978,333,190,0
lane2.mp4,2025-04-12,11:28:10,5888,5229,433,226,0
lane1.mp4,2025-04-12,11:28:15,898,894,4,0,0
lane2.mp4,2025-04-12,11:28:16,20324,17518,2124,682,0
lane1.mp4,2025-04-12,11:28:23,1132,1097,33,2,0
lane2.mp4,2025-04-12,11:28:25,5286,4686,382,218,0
lane3.mp4,2025-04-12,11:28:26,26502,23441,1213,965,883
